Abbreviation,TeamName,ClassifiedPosition,Race,Market_Segment,Perf_Weight,Confidence,Influence_ROI
OCO,Alpine,10,Spa,Forest Heritage,1.0,0.8748333333333335,87.48
PIA,McLaren,1,Budapest,Danube Elegance,1.5,0.8158333333333333,122.37
NOR,McLaren,2,Budapest,Danube Elegance,1.5,0.8158333333333333,122.37
HAM,Mercedes,3,Budapest,Danube Elegance,1.5,0.8158333333333333,122.37
LEC,Ferrari,4,Budapest,Danube Elegance,1.0,0.8158333333333333,81.58
VER,Red Bull Racing,5,Budapest,Danube Elegance,1.0,0.8158333333333333,81.58
SAI,Ferrari,6,Budapest,Danube Elegance,1.0,0.8158333333333333,81.58
PER,Red Bull Racing,7,Budapest,Danube Elegance,1.0,0.8158333333333333,81.58
RUS,Mercedes,8,Budapest,Danube Elegance,1.0,0.8158333333333333,81.58
TSU,RB,9,Budapest,Danube Elegance,1.0,0.8158333333333333,81.58
STR,Aston Martin,10,Budapest,Danube Elegance,1.0,0.8158333333333333,81.58
NOR,McLaren,1,Zandvoort,Coastal Casual,1.5,0.7219333333333333,108.29
VER,Red Bull Racing,2,Zandvoort,Coastal Casual,1.5,0.7219333333333333,108.29
LEC,Ferrari,3,Zandvoort,Coastal Casual,1.5,0.7219333333333333,108.29
PIA,McLaren,4,Zandvoort,Coastal Casual,1.0,0.7219333333333333,72.19
SAI,Ferrari,5,Zandvoort,Coastal Casual,1.0,0.7219333333333333,72.19
PER,Red Bull Racing,6,Zandvoort,Coastal Casual,1.0,0.7219333333333333,72.19
RUS,Mercedes,7,Zandvoort,Coastal Casual,1.0,0.7219333333333333,72.19
HAM,Mercedes,8,Zandvoort,Coastal Casual,1.0,0.7219333333333333,72.19
GAS,Alpine,9,Zandvoort,Coastal Casual,1.0,0.7219333333333333,72.19
ALO,Aston Martin,10,Zandvoort,Coastal Casual,1.0,0.7219333333333333,72.19
LEC,Ferrari,1,Monza,European Heritage,1.5,0.8201999999999999,123.03
PIA,McLaren,2,Monza,European Heritage,1.5,0.8201999999999999,123.03
NOR,McLaren,3,Monza,European Heritage,1.5,0.8201999999999999,123.03
SAI,Ferrari,4,Monza,European Heritage,1.0,0.8201999999999999,82.02
HAM,Mercedes,5,Monza,European Heritage,1.0,0.8201999999999999,82.02
VER,Red Bull Racing,6,Monza,European Heritage,1.0,0.8201999999999999,82.02
RUS,Mercedes,7,Monza,European Heritage,1.0,0.8201999999999999,82.02
PER,Red Bull Racing,8,Monza,European Heritage,1.0,0.8201999999999999,82.02
ALB,Williams,9,Monza,European Heritage,1.0,0.8201999999999999,82.02
MAG,Haas F1 Team,10,Monza,European Heritage,1.0,0.8201999999999999,82.02
VER,Red Bull Racing,1,Imola,Motor Valley Luxury,1.5,0.7660333333333332,114.9
NOR,McLaren,2,Imola,Motor Valley Luxury,1.5,0.7660333333333332,114.9
LEC,Ferrari,3,Imola,Motor Valley Luxury,1.5,0.7660333333333332,114.9
PIA,McLaren,4,Imola,Motor Valley Luxury,1.0,0.7660333333333332,76.6
SAI,Ferrari,5,Imola,Motor Valley Luxury,1.0,0.7660333333333332,76.6
HAM,Mercedes,6,Imola,Motor Valley Luxury,1.0,0.7660333333333332,76.6
RUS,Mercedes,7,Imola,Motor Valley Luxury,1.0,0.7660333333333332,76.6
PER,Red Bull Racing,8,Imola,Motor Valley Luxury,1.0,0.7660333333333332,76.6
STR,Aston Martin,9,Imola,Motor Valley Luxury,1.0,0.7660333333333332,76.6
TSU,RB,10,Imola,Motor Valley Luxury,1.0,0.7660333333333332,76.6
NOR,McLaren,1,Miami,High-End Streetwear,1.5,0.7866,117.99
VER,Red Bull Racing,2,Miami,High-End Streetwear,1.5,0.7866,117.99
LEC,Ferrari,3,Miami,High-End Streetwear,1.5,0.7866,117.99
PER,Red Bull Racing,4,Miami,High-End Streetwear,1.0,0.7866,78.66
SAI,Ferrari,5,Miami,High-End Streetwear,1.0,0.7866,78.66
HAM,Mercedes,6,Miami,High-End Streetwear,1.0,0.7866,78.66
TSU,RB,7,Miami,High-End Streetwear,1.0,0.7866,78.66
RUS,Mercedes,8,Miami,High-End Streetwear,1.0,0.7866,78.66
ALO,Aston Martin,9,Miami,High-End Streetwear,1.0,0.7866,78.66
OCO,Alpine,10,Miami,High-End Streetwear,1.0,0.7866,78.66
VER,Red Bull Racing,1,Montreal,Francophone Chic,1.5,0.7604000000000001,114.06
NOR,McLaren,2,Montreal,Francophone Chic,1.5,0.7604000000000001,114.06
RUS,Mercedes,3,Montreal,Francophone Chic,1.5,0.7604000000000001,114.06
HAM,Mercedes,4,Montreal,Francophone Chic,1.0,0.7604000000000001,76.04
PIA,McLaren,5,Montreal,Francophone Chic,1.0,0.7604000000000001,76.04
ALO,Aston Martin,6,Montreal,Francophone Chic,1.0,0.7604000000000001,76.04
STR,Aston Martin,7,Montreal,Francophone Chic,1.0,0.7604000000000001,76.04
RIC,RB,8,Montreal,Francophone Chic,1.0,0.7604000000000001,76.04
GAS,Alpine,9,Montreal,Francophone Chic,1.0,0.7604000000000001,76.04
OCO,Alpine,10,Montreal,Francophone Chic,1.0,0.7604000000000001,76.04
LEC,Ferrari,1,Austin,Western Premium,1.5,0.805,120.75
SAI,Ferrari,2,Austin,Western Premium,1.5,0.805,120.75
VER,Red Bull Racing,3,Austin,Western Premium,1.5,0.805,120.75
NOR,McLaren,4,Austin,Western Premium,1.0,0.805,80.5
PIA,McLaren,5,Austin,Western Premium,1.0,0.805,80.5
RUS,Mercedes,6,Austin,Western Premium,1.0,0.805,80.5
PER,Red Bull Racing,7,Austin,Western Premium,1.0,0.805,80.5
HUL,Haas F1 Team,8,Austin,Western Premium,1.0,0.805,80.5
LAW,RB,9,Austin,Western Premium,1.0,0.805,80.5
COL,Williams,10,Austin,Western Premium,1.0,0.805,80.5
SAI,Ferrari,1,Mexico City,Latam Vibrancy,1.5,0.8695666666666666,130.44
NOR,McLaren,2,Mexico City,Latam Vibrancy,1.5,0.8695666666666666,130.44
LEC,Ferrari,3,Mexico City,Latam Vibrancy,1.5,0.8695666666666666,130.44
HAM,Mercedes,4,Mexico City,Latam Vibrancy,1.0,0.8695666666666666,86.96
RUS,Mercedes,5,Mexico City,Latam Vibrancy,1.0,0.8695666666666666,86.96
VER,Red Bull Racing,6,Mexico City,Latam Vibrancy,1.0,0.8695666666666666,86.96
MAG,Haas F1 Team,7,Mexico City,Latam Vibrancy,1.0,0.8695666666666666,86.96
PIA,McLaren,8,Mexico City,Latam Vibrancy,1.0,0.8695666666666666,86.96
HUL,Haas F1 Team,9,Mexico City,Latam Vibrancy,1.0,0.8695666666666666,86.96
GAS,Alpine,10,Mexico City,Latam Vibrancy,1.0,0.8695666666666666,86.96
NOR,McLaren,1,Interlagos,Samba Luxury,1.5,0.8468666666666667,127.03
VER,Red Bull Racing,2,Interlagos,Samba Luxury,1.5,0.8468666666666667,127.03
LEC,Ferrari,3,Interlagos,Samba Luxury,1.5,0.8468666666666667,127.03
PIA,McLaren,4,Interlagos,Samba Luxury,1.0,0.8468666666666667,84.69
SAI,Ferrari,5,Interlagos,Samba Luxury,1.0,0.8468666666666667,84.69
PER,Red Bull Racing,6,Interlagos,Samba Luxury,1.0,0.8468666666666667,84.69
RUS,Mercedes,7,Interlagos,Samba Luxury,1.0,0.8468666666666667,84.69
HAM,Mercedes,8,Interlagos,Samba Luxury,1.0,0.8468666666666667,84.69
GAS,Alpine,9,Interlagos,Samba Luxury,1.0,0.8468666666666667,84.69
ALO,Aston Martin,10,Interlagos,Samba Luxury,1.0,0.8468666666666667,84.69
RUS,Mercedes,1,Las Vegas,Premium Entertainment,1.5,0.8008000000000001,120.12
HAM,Mercedes,2,Las Vegas,Premium Entertainment,1.5,0.8008000000000001,120.12
SAI,Ferrari,3,Las Vegas,Premium Entertainment,1.5,0.8008000000000001,120.12
LEC,Ferrari,4,Las Vegas,Premium Entertainment,1.0,0.8008000000000001,80.08
VER,Red Bull Racing,5,Las Vegas,Premium Entertainment,1.0,0.8008000000000001,80.08
NOR,McLaren,6,Las Vegas,Premium Entertainment,1.0,0.8008000000000001,80.08
PIA,McLaren,7,Las Vegas,Premium Entertainment,1.0,0.8008000000000001,80.08
HUL,Haas F1 Team,8,Las Vegas,Premium Entertainment,1.0,0.8008000000000001,80.08
TSU,RB,9,Las Vegas,Premium Entertainment,1.0,0.8008000000000001,80.08
PER,Red Bull Racing,10,Las Vegas,Premium Entertainment,1.0,0.8008000000000001,80.08
SAI,Ferrari,1,Melbourne,Pacific Lifestyle,1.5,0.8925000000000001,133.88
LEC,Ferrari,2,Melbourne,Pacific Lifestyle,1.5,0.8925000000000001,133.88
NOR,McLaren,3,Melbourne,Pacific Lifestyle,1.5,0.8925000000000001,133.88
PIA,McLaren,4,Melbourne,Pacific Lifestyle,1.0,0.8925000000000001,89.25
PER,Red Bull Racing,5,Melbourne,Pacific Lifestyle,1.0,0.8925000000000001,89.25
STR,Aston Martin,6,Melbourne,Pacific Lifestyle,1.0,0.8925000000000001,89.25
TSU,RB,7,Melbourne,Pacific Lifestyle,1.0,0.8925000000000001,89.25
ALO,Aston Martin,8,Melbourne,Pacific Lifestyle,1.0,0.8925000000000001,89.25
HUL,Haas F1 Team,9,Melbourne,Pacific Lifestyle,1.0,0.8925000000000001,89.25
MAG,Haas F1 Team,10,Melbourne,Pacific Lifestyle,1.0,0.8925000000000001,89.25
